index_code,con_code,trade_date,weight,index_name
000001.SH,601398.SH,20250127,3.645,上证指数
000001.SH,600519.SH,20250127,3.574,上证指数
000001.SH,601288.SH,20250127,3.266,上证指数
000001.SH,601857.SH,20250127,2.674,上证指数
000001.SH,601988.SH,20250127,2.277,上证指数
000001.SH,601628.SH,20250127,1.676,上证指数
000001.SH,600036.SH,20250127,1.662,上证指数
000001.SH,600900.SH,20250127,1.402,上证指数
000001.SH,601088.SH,20250127,1.308,上证指数
000001.SH,600028.SH,20250127,1.172,上证指数
000001.SH,601728.SH,20250127,1.086,上证指数
000001.SH,601318.SH,20250127,1.085,上证指数
000001.SH,601658.SH,20250127,0.851,上证指数
000001.SH,601138.SH,20250127,0.845,上证指数
000001.SH,601166.SH,20250127,0.836,上证指数
000001.SH,601899.SH,20250127,0.663,上证指数
000001.SH,600030.SH,20250127,0.651,上证指数
000001.SH,600000.SH,20250127,0.62,上证指数
000001.SH,688041.SH,20250127,0.59,上证指数
000001.SH,600276.SH,20250127,0.565,上证指数
000001.SH,601328.SH,20250127,0.564,上证指数
000001.SH,601816.SH,20250127,0.555,上证指数
000001.SH,601998.SH,20250127,0.516,上证指数
000001.SH,601319.SH,20250127,0.504,上证指数
000001.SH,688256.SH,20250127,0.473,上证指数
000001.SH,601668.SH,20250127,0.465,上证指数
000001.SH,603288.SH,20250127,0.452,上证指数
000001.SH,601601.SH,20250127,0.439,上证指数
000001.SH,600309.SH,20250127,0.427,上证指数
000001.SH,601225.SH,20250127,0.418,上证指数
000001.SH,600809.SH,20250127,0.416,上证指数
000001.SH,601985.SH,20250127,0.398,上证指数
000001.SH,601127.SH,20250127,0.397,上证指数
000001.SH,600104.SH,20250127,0.394,上证指数
000001.SH,688981.SH,20250127,0.37,上证指数
000001.SH,600406.SH,20250127,0.368,上证指数
000001.SH,601919.SH,20250127,0.361,上证指数
000001.SH,600919.SH,20250127,0.361,上证指数
000001.SH,601766.SH,20250127,0.359,上证指数
000001.SH,601818.SH,20250127,0.356,上证指数
000001.SH,600887.SH,20250127,0.351,上证指数
000001.SH,600690.SH,20250127,0.344,上证指数
000001.SH,600025.SH,20250127,0.323,上证指数
000001.SH,600050.SH,20250127,0.308,上证指数
000001.SH,601633.SH,20250127,0.307,上证指数
000001.SH,600019.SH,20250127,0.306,上证指数
000001.SH,601066.SH,20250127,0.306,上证指数
000001.SH,600150.SH,20250127,0.298,上证指数
000001.SH,600016.SH,20250127,0.292,上证指数
000001.SH,688111.SH,20250127,0.288,上证指数
000001.SH,603259.SH,20250127,0.274,上证指数
000001.SH,600018.SH,20250127,0.273,上证指数
000001.SH,600031.SH,20250127,0.27,上证指数
000001.SH,600999.SH,20250127,0.266,上证指数
000001.SH,601211.SH,20250127,0.264,上证指数
000001.SH,601229.SH,20250127,0.262,上证指数
000001.SH,600989.SH,20250127,0.255,上证指数
000001.SH,600760.SH,20250127,0.254,上证指数
000001.SH,603993.SH,20250127,0.254,上证指数
000001.SH,603501.SH,20250127,0.254,上证指数
000001.SH,605499.SH,20250127,0.251,上证指数
000001.SH,601169.SH,20250127,0.251,上证指数
000001.SH,601688.SH,20250127,0.246,上证指数
000001.SH,600436.SH,20250127,0.242,上证指数
000001.SH,601390.SH,20250127,0.241,上证指数
000001.SH,601006.SH,20250127,0.241,上证指数
000001.SH,600015.SH,20250127,0.24,上证指数
000001.SH,600905.SH,20250127,0.238,上证指数
000001.SH,600660.SH,20250127,0.237,上证指数
000001.SH,601888.SH,20250127,0.235,上证指数
000001.SH,688036.SH,20250127,0.227,上证指数
000001.SH,601009.SH,20250127,0.227,上证指数
000001.SH,601012.SH,20250127,0.224,上证指数
000001.SH,688012.SH,20250127,0.222,上证指数
000001.SH,601800.SH,20250127,0.221,上证指数
000001.SH,601689.SH,20250127,0.219,上证指数
000001.SH,600886.SH,20250127,0.213,上证指数
000001.SH,600346.SH,20250127,0.209,上证指数
000001.SH,601898.SH,20250127,0.208,上证指数
000001.SH,601989.SH,20250127,0.206,上证指数
000001.SH,688271.SH,20250127,0.203,上证指数
000001.SH,601600.SH,20250127,0.203,上证指数
000001.SH,600837.SH,20250127,0.202,上证指数
000001.SH,601881.SH,20250127,0.201,上证指数
000001.SH,600941.SH,20250127,0.199,上证指数
000001.SH,600585.SH,20250127,0.197,上证指数
000001.SH,600893.SH,20250127,0.197,上证指数
000001.SH,600048.SH,20250127,0.197,上证指数
000001.SH,601336.SH,20250127,0.197,上证指数
000001.SH,601186.SH,20250127,0.195,上证指数
000001.SH,603019.SH,20250127,0.194,上证指数
000001.SH,601111.SH,20250127,0.185,上证指数
000001.SH,603195.SH,20250127,0.183,上证指数
000001.SH,600438.SH,20250127,0.183,上证指数
000001.SH,601995.SH,20250127,0.181,上证指数
000001.SH,601727.SH,20250127,0.181,上证指数
000001.SH,600418.SH,20250127,0.177,上证指数
000001.SH,600926.SH,20250127,0.176,上证指数
000001.SH,600547.SH,20250127,0.174,上证指数
000001.SH,601669.SH,20250127,0.173,上证指数
000001.SH,603392.SH,20250127,0.171,上证指数
000001.SH,603986.SH,20250127,0.168,上证指数
000001.SH,600029.SH,20250127,0.165,上证指数
000001.SH,601100.SH,20250127,0.165,上证指数
000001.SH,600009.SH,20250127,0.164,上证指数
000001.SH,600938.SH,20250127,0.163,上证指数
000001.SH,601939.SH,20250127,0.162,上证指数
